p_id,file_name,station_name,latitude,longitude,elevation,hardware,software,lat_cal,long_cal,z_GEE
29,IMELBO1649,Coburg Cullity Walk,37.737,144.97,60,Other,EasyWeatherV1.4.6,-37.7371,144.97,62
30,IMELBO3999,Weather Station,37.734,144.982,66,Other,EasyWeatherPro_V5.0.2,-37.734,144.982,53
31,IMELBO780,KS_Preston,37.744,144.986,73,Other,EasyWeatherV1.6.4,-37.744,144.986,69
32,IMELBO1719,Preston,37.743,144.992,23,Other,EasyWeatherV1.6.5,-37.743,144.992,65
33,IMELBO685,Union St,37.774,144.957,50,Other,EasyWeatherV1.6.4,-37.774,144.957,46
34,IVICBRUN2,Temple Park,37.775,144.952,49,Davis Vantage Pro2 (Wireless),weewx-3.9.2,-37.7746,144.952,45
35,IVCTTRAV3,Parkville Gardens,37.775,114.943,36,Other,EasyWeatherV1.6.9,-37.7753,144.943,29
36,IVICMOON2,Moonee Ponds,37.768,144.919,43,Davis Vantage Pro2 Plus (Wireless),weatherlink.com 1.10,-37.7682,144.919,42
37,IMELBOUR511,Moonee Ponds,37.768,144.918,43,WeatherFlow,,-37.7682,144.918,40
38,IMELBO3182,Munro Street,37.775,114.913,17,Other,,-37.775,144.913,11
39,IMELBO1568,MyUnderground,37.752,144.901,39,Other,EasyWeatherV1.7.0,-37.7525,144.901,41
40,IMELBO606,Kensington PWS,37.795,144.924,25,Other,EasyWeatherV1.2.2,-37.795,144.924,10
41,IVCTFOOT2,Pilgrim St Weather Station,37.806,144.895,22,Lacrosse,WeatherStationV2.2.14,-37.8056,144.895,20
42,IMELBO211,Jellis Weather,37.807,144.891,25,Ambient Weather WS-2902,EasyWeatherV1.6.6,-37.8068,144.891,21
43,IMELBO3345,Seddon,37.804,144.889,25,Other,,-37.804,144.889,22
45,IMELBO3579,Bishop75,37.814,144.875,6,Other,EasyWeatherV1.6.1,-37.814,144.875,16
46,IMELBO4080,Wilkins,37.817,144.873,3,Other,,-37.817,144.873,13
47,IMELBOUR520,Yarraville,37.818,144.879,67,Ambient Weather WS-1000 (Wireless),WS-1002 V2.5.2,-37.8181,144.879,10
48,IMELBO830,Yarraville-BenaSt,37.821,144.881,11,Other,EasyWeatherV1.6.9,-37.821,144.881,9
49,IMELBO3614,Harpon Mel,37.837,144.853,4,Other,EasyWeatherV1.6.4,-37.837,144.853,15
50,IMELBO1605,JanGals,37.785,144.87,42,Ambient Weather WS-2902,EasyWeatherV1.5.2,-37.785,144.87,38
51,IMELBO4157,Official Westside Weather,37.793,144.87,32,Other,,-37.7929,144.87,34
52,IMELBO3354,BackGarden,37.807,144.875,21,Other,EasyWeatherV1.6.9,-37.807,144.875,22
53,IMELBO3897,Lae Street Station,37.809,144.867,6,Other,EasyWeatherV1.5.2,-37.809,144.867,14
54,IVICTORI744,Altona North,37.83,144.835,20,Other,EasyWeather V8.8.0,-37.8302,144.835,12
55,IMELBO1657,WeatherNerd2000,37.789,144.84,10,Other,EasyWeatherV1.6.4,-37.789,144.84,33
56,IMELBO1980,RamakDoreen,37.788,144.825,39,Ambient Weather WS-2902,EasyWeatherV1.6.4,-37.788,144.825,31
57,IMELBO2689,tomcat,37.799,144.8,11,Other,EasyWeatherV1.5.2,-37.7991,144.8,39
58,IMELBO3074,Weather1,37.762,144.805,17,Other,EasyWeatherV1.6.9,-37.762,144.805,51
59,IMELBOUR528,Avondale Heights,37.755,144.855,187,AcuRite Pro Weather Center,EasyWeatherPro_V5.1.1,-37.7545,144.855,54
60,IMELBO2183,Carben,37.722,144.859,70,Other,GW1000_V1.7.5,-37.722,144.859,71
61,IMELBOUR237,"Tullamarine Radiopharmacy, Keilor Park",37.713,144.849,81,Other,EasyWeatherV1.1.2,-37.7127,144.849,78
62,IMELBO2784,Keilor,37.719,144.833,18,Other,EasyWeatherV1.6.0,-37.719,144.833,34
63,IMELBO2418,M&E Weather,37.707,144.795,1,Other,GW1000_V1.6.3,-37.7071,144.795,91
64,IMELBO2532,Sam's weather station,37.703,144.79,93,Other,,-37.7028,144.79,96
65,IMELBO3631,Jock's Weather Station,37.711,144.783,101,Other,EasyWeatherV1.5.2,-37.711,144.783,101
66,IMELBO1849,Parkview,37.707,144.775,103,Other,EasyWeatherPro_V5.1.9,-37.707,144.775,104
67,IVICTORI1044,Ray's Home Taylors Hill,37.707,144.758,120,Davis Vantage Pro2 Plus (Wireless),weatherlink.com 1.10,-37.707,144.758,117
68,IMELBO3930,Taylor?s Hill,37.72,144.753,,Other,GW1100C_V2.1.9,-37.72,144.753,98
69,IMELBO3389,ddepps,37.724,144.759,93,Other,GW1000_V1.7.7,-37.724,144.759,91
70,IMELBO242,"Muscat Weather, Kings Park",37.737,144.766,78,Other,EasyWeatherV1.4.4,-37.737,144.766,75
71,IMELBO358,VK2FAB-WX,37.731,144.745,82,Other,EasyWeatherV1.7.0,-37.731,144.745,83
72,IMELBO3076,Brookside,37.744,144.737,24,,WeatherFlow,-37.7442,144.737,80
73,IMELBO2306,Grove CS,37.74,144.734,84,Ambient Weather WS-2000,EasyWeatherV1.5.2,-37.74,144.734,83
